Report Name: LNDEMO_EQ_ASIA_ESG_ATTR_BRINSON,,,,,,,,,,,,,,
Portfolio: LPDEMO_ASIA_ESG,,,,,,,,,,,,,,
Benchmark: MXAP,,,,,,,,,,,,,,
Run Date: 07/22/2020,,,,,,,,,,,,,,
Period: 12/31/2019 - 07/21/2020,,,,,,,,,,,,,,
Base Currency: USD,,,,,,,,,,,,,,
Classification: BICS Sector,,,,,,,,,,,,,,
Level,Name,Avg % Wgt[P],Avg % Wgt[B],Avg % Wgt[D],CTR[P],CTR[B],CTR[D],Tot Rtn[P],Tot Rtn[B],Tot Rtn[D],Tot Attr,Alloc,Selec,Curr
2,2899 HK,,0.02813991,-0.02813991,,0.00751244,-0.00751244,,27.30299279,-27.30299279,-0.01309384,,-0.01295665,-0.00013719
2,300072 C2,,0.00087989,-0.00087989,,-0.00067016,0.00067016,,-43.3923598,43.3923598,0.00099425,,0.00096468,0.00002957
2,300285 C2,,0.00229345,-0.00229345,,0.0011269,-0.0011269,,60.40162325,-60.40162325,-0.00224638,,-0.00224836,0.00000198
2,323 HK,,0.00245682,-0.00245682,,-0.00120533,0.00120533,,-29.37703424,29.37703424,0.0016526,,0.00167179,-0.00001919
2,338 HK,,0.00961239,-0.00961239,,-0.00147725,0.00147725,,-13.77625979,13.77625979,0.00231647,,0.00236997,-0.0000535
2,3402 JP,,0.07885946,-0.07885946,,-0.03093165,0.03093165,,-30.46784709,30.46784709,0.05042775,,0.05205343,-0.00162568
2,3405 JP,,0.03757677,-0.03757677,,-0.00531253,0.00531253,,-13.61069038,13.61069038,0.00747348,,0.00785054,-0.00037706
2,3407 JP,0.41935341,0.11287096,0.30648245,-0.15265002,-0.04412383,-0.10852618,-30.68974569,-30.68974569,0,-0.06412109,,-0.0701944,0.00607331
2,358 HK,,0.01398863,-0.01398863,,-0.00215365,0.00215365,,-10.0925267,10.0925267,0.00368247,,0.00376078,-0.00007831
2,3861 JP,,0.04761255,-0.04761255,,-0.00630847,0.00630847,,-17.02400677,17.02400677,0.01178838,,0.01225456,-0.00046619
2,3993 HK,,0.01419434,-0.01419434,,-0.0015372,0.0015372,,-3.18800955,3.18800955,0.00168828,,0.00176366,-0.00007538
2,4004 JP,,0.03332613,-0.03332613,,-0.00387462,0.00387462,,-14.38342062,14.38342062,0.00588115,,0.00643386,-0.00055271
2,4005 JP,,0.05522009,-0.05522009,,-0.02221433,0.02221433,,-31.20146489,31.20146489,0.03706863,,0.03810339,-0.00103476
2,4021 JP,,0.05733002,-0.05733002,,0.01442947,-0.01442947,,25.59809718,-25.59809718,-0.03282982,,-0.03126116,-0.00156866
2,4042 JP,,0.03817422,-0.03817422,,-0.00402479,0.00402479,,-10.58998177,10.58998177,0.00486202,,0.00552336,-0.00066134
2,4063 JP,2.56591564,0.43457691,2.13133873,0.31925637,0.05154146,0.26771492,11.85152454,11.85152454,0,0.23941629,,0.19804622,0.04137007
2,4088 JP,,0.02745121,-0.02745121,,-0.00095888,0.00095888,,-6.05540777,6.05540777,0.00073782,,0.00110743,-0.00036962
2,4091 JP,,0.02598426,-0.02598426,,-0.00692932,0.00692932,,-22.2715993,22.2715993,0.01130103,,0.01184615,-0.00054512
2,4182 JP,,0.02453761,-0.02453761,,0.00078697,-0.00078697,,3.3352737,-3.3352737,-0.00393985,,-0.00344824,-0.00049161
2,4183 JP,,0.04219457,-0.04219457,,-0.00741003,0.00741003,,-14.68565355,14.68565355,0.00929334,,0.00974721,-0.00045387
2,4188 JP,,0.08829514,-0.08829514,,-0.02084835,0.02084835,,-20.51836305,20.51836305,0.03273574,,0.03403095,-0.00129521
2,4202 JP,0.36570125,0.02242324,0.34327801,-0.07661398,-0.00495365,-0.07166034,-21.27172424,-21.27172424,0,-0.06033704,,-0.06648192,0.00614488
2,4217 JP,1.82949935,0.02747882,1.80202053,0.05907337,0.00060541,0.05846796,2.89660477,1.31609114,1.58051364,0.17427536,,0.14889444,0.02538092
2,4612 JP,,0.09348986,-0.09348986,,0.03253022,-0.03253022,,34.639698,-34.639698,-0.063288,,-0.06267032,-0.00061767
2,4613 JP,1.10912606,0.04104945,1.06807661,-0.21617546,-0.0084552,-0.20772026,-17.20736442,-17.20736442,0,-0.15286159,,-0.16519803,0.01233644
2,5401 JP,,0.09249558,-0.09249558,,-0.04937389,0.04937389,,-38.38584354,38.38584354,0.08167184,,0.08279929,-0.00112744
2,5411 JP,,0.04580825,-0.04580825,,-0.02880203,0.02880203,,-42.58003299,42.58003299,0.04844891,,0.04901529,-0.00056639
2,5486 JP,,0.02881954,-0.02881954,,-0.00536011,0.00536011,,-13.31848291,13.31848291,0.00621302,,0.00679195,-0.00057892
2,5711 JP,,0.02731102,-0.02731102,,-0.0055747,0.0055747,,-19.58646238,19.58646238,0.00904012,,0.00946105,-0.00042093
2,5713 JP,,0.06738048,-0.06738048,,-0.00210196,0.00210196,,-5.00034369,5.00034369,0.00131519,,0.00243968,-0.0011245
2,600010 C1,,0.00499096,-0.00499096,,-0.0006731,0.0006731,,-10.96395847,10.96395847,0.00104981,,0.00101184,0.00003796
2,600019 C1,,0.00879653,-0.00879653,,-0.00079582,0.00079582,,-5.59014197,5.59014197,0.00098636,,0.00092516,0.00006119
2,600111 C1,,0.0033277,-0.0033277,,0.00054414,-0.00054414,,16.04644364,-16.04644364,-0.00089805,,-0.00091625,0.0000182
2,600160 C1,,0.00183177,-0.00183177,,-0.00001566,0.00001566,,3.95816161,-3.95816161,-0.00005948,,-0.00007296,0.00001348
2,600219 C1,,0.00241075,-0.00241075,,0.00031419,-0.00031419,,15.27874671,-15.27874671,-0.00057445,,-0.00059077,0.00001632
